fkgl,compression_ratio,coherence,coverage,fluency
11.4,0.31338028169014087,5.0,5.0,5.0
14.7,0.07621550591327202,5.0,5.0,5.0
15.0,0.06680805938494168,5.0,5.0,5.0
12.5,0.25833333333333336,5.0,5.0,5.0
18.1,0.12939841089670828,5.0,5.0,5.0
18.7,0.022169725604215883,4.0,4.0,4.0
14.9,0.02858460119870908,5.0,4.0,5.0
19.8,0.023104831010120296,4.0,4.0,5.0
14.9,0.14337349397590363,5.0,5.0,5.0
17.0,0.11284722222222222,5.0,4.0,5.0
17.0,0.13771186440677965,5.0,5.0,5.0
14.1,0.3907563025210084,5.0,5.0,5.0
14.0,0.0068561872909699,4.0,4.0,5.0
14.0,0.023361927359007117,4.0,4.0,4.0
14.8,0.02588235294117647,4.0,4.0,4.0
16.9,0.08012422360248447,4.0,4.0,5.0
11.9,0.510752688172043,5.0,5.0,5.0
14.7,0.048111332007952284,5.0,5.0,5.0
11.9,0.17325227963525835,5.0,5.0,5.0
11.4,0.03317402305313467,4.0,4.0,5.0
16.7,0.12390350877192982,5.0,5.0,5.0
14.2,0.03513441575725313,5.0,5.0,5.0
16.8,0.02738123098525626,4.0,4.0,4.0
15.0,0.05150214592274678,5.0,4.0,5.0
12.0,0.3333333333333333,5.0,5.0,5.0
15.2,0.22478991596638656,4.0,4.0,5.0
14.0,0.002348821318756406,4.0,4.0,5.0
15.4,0.014369467754914359,4.0,4.0,5.0
13.5,0.5153061224489796,5.0,5.0,5.0
13.7,0.29411764705882354,5.0,5.0,5.0
14.4,0.11144278606965174,5.0,4.0,5.0
14.2,0.1867572156196944,5.0,5.0,5.0
13.5,0.20816326530612245,5.0,5.0,5.0
12.2,0.22141119221411193,5.0,5.0,5.0
12.7,0.29362880886426596,5.0,4.0,5.0
18.4,0.0032658153530016145,4.0,4.0,5.0
14.7,0.016788220723820007,4.0,4.0,4.0
20.1,0.0044251703690592085,4.0,4.0,4.0
15.8,0.12016718913270637,5.0,5.0,5.0
17.1,0.04991394148020654,4.0,4.0,5.0
11.5,0.23076923076923078,5.0,4.0,5.0
14.4,0.05354330708661417,4.0,4.0,5.0
14.2,0.47474747474747475,4.0,4.0,5.0
16.5,0.014719101123595505,4.0,4.0,5.0
11.6,0.18295739348370926,5.0,5.0,5.0
13.1,0.34782608695652173,5.0,5.0,5.0
15.5,0.021386074931661038,4.0,4.0,5.0
16.3,0.012790941497169217,4.0,4.0,5.0
15.4,0.02552697737381551,4.0,4.0,5.0
15.9,0.19497784342688332,4.0,4.0,5.0
15.6,0.0072379475248804444,4.0,4.0,5.0
11.2,0.24643584521384929,5.0,5.0,5.0
10.5,0.5401459854014599,5.0,5.0,5.0
10.3,0.34615384615384615,5.0,5.0,5.0
17.0,0.04484304932735426,5.0,4.0,5.0
16.0,0.12162162162162163,5.0,4.0,5.0
16.7,0.11969839773798303,5.0,5.0,5.0
17.5,0.019318527532704594,4.0,4.0,5.0
17.0,0.020114497911186757,4.0,4.0,5.0
16.5,0.01747217134000282,5.0,4.0,5.0
16.6,0.022546897546897548,5.0,4.0,5.0
19.9,0.006677248098078923,4.0,4.0,5.0
15.1,0.0026318516215936174,4.0,4.0,5.0
15.0,0.049625836943678614,4.0,4.0,5.0
16.0,0.07878787878787878,5.0,4.0,5.0
12.4,0.40654205607476634,5.0,5.0,5.0
19.3,0.041801801801801805,5.0,5.0,5.0
13.6,0.12085308056872038,5.0,4.0,5.0
11.1,0.53125,5.0,5.0,5.0
14.9,0.24319066147859922,5.0,5.0,5.0
13.5,0.27520435967302453,5.0,5.0,5.0
12.6,0.3105263157894737,5.0,5.0,5.0
16.9,0.024817237398999614,4.0,4.0,5.0
11.4,0.28525641025641024,5.0,5.0,5.0
17.3,0.004763368162261831,5.0,4.0,5.0
13.2,0.1710914454277286,4.0,4.0,4.0
14.2,0.2568306010928962,5.0,5.0,5.0
14.8,0.36298932384341637,5.0,5.0,5.0
16.1,0.030614744060739652,5.0,5.0,5.0
14.6,0.189792663476874,5.0,5.0,5.0
13.8,0.08571428571428572,5.0,5.0,5.0
13.9,0.2247787610619469,5.0,5.0,5.0
13.8,0.03451131971286582,4.0,4.0,5.0
13.4,0.028081865778200855,4.0,4.0,5.0
10.8,0.38926174496644295,5.0,5.0,5.0
13.8,0.45,5.0,4.0,5.0
14.5,0.06663400293973543,5.0,4.0,5.0
12.7,0.4097560975609756,5.0,5.0,5.0
14.0,0.03515290082880823,4.0,4.0,5.0
12.1,0.2677595628415301,5.0,5.0,5.0
16.8,0.05641251652710445,5.0,5.0,5.0
15.9,0.09901800327332243,5.0,5.0,5.0
