fkgl,compression_ratio,coherence,coverage,fluency
15.3,0.055817947617003004,4.0,4.0,5.0
12.7,0.04590288315629742,5.0,5.0,5.0
17.8,0.047063253012048195,5.0,5.0,5.0
11.8,0.2825278810408922,5.0,4.0,5.0
16.5,0.0822826808228268,5.0,4.0,5.0
15.0,0.06734366648850881,5.0,5.0,5.0
13.3,0.24301075268817204,5.0,4.0,5.0
16.7,0.11662817551963048,5.0,5.0,5.0
14.7,0.022048104956268223,4.0,4.0,5.0
19.0,0.028915105250983113,5.0,4.0,5.0
18.0,0.024511681348142474,5.0,4.0,5.0
14.7,0.1423312883435583,5.0,5.0,5.0
14.6,0.10466138962181179,5.0,4.0,5.0
16.3,0.13132400430570507,5.0,5.0,5.0
13.8,0.47085201793721976,5.0,5.0,5.0
14.1,0.005188284518828452,4.0,4.0,5.0
16.4,0.023609077598828698,5.0,4.0,5.0
14.9,0.026609442060085836,5.0,4.0,5.0
16.2,0.08463949843260188,4.0,4.0,5.0
15.1,0.47953216374269003,5.0,5.0,5.0
17.7,0.0492,5.0,5.0,5.0
13.5,0.18040435458786935,5.0,5.0,5.0
14.8,0.03472614342179559,5.0,4.0,5.0
15.8,0.11594202898550725,5.0,5.0,5.0
15.6,0.03607696419027258,5.0,4.0,5.0
16.5,0.03076561766087365,4.0,4.0,5.0
14.5,0.05572354211663067,5.0,4.0,5.0
12.2,0.367601246105919,5.0,5.0,5.0
13.3,0.25379609544468545,5.0,4.0,5.0
17.4,0.0025845312600123885,4.0,4.0,4.0
12.9,0.014854905573468448,4.0,4.0,5.0
13.5,0.5580110497237569,5.0,5.0,5.0
11.8,0.2529182879377432,5.0,4.0,5.0
11.8,0.13232323232323231,5.0,4.0,5.0
13.1,0.1672473867595819,5.0,4.0,5.0
15.4,0.21052631578947367,5.0,5.0,5.0
11.5,0.21212121212121213,5.0,5.0,5.0
14.1,0.2861271676300578,5.0,5.0,5.0
16.9,0.0036347615376142745,4.0,4.0,5.0
16.1,0.01709873138444567,4.0,4.0,5.0
